Evolving 30 sharks over 10000 generations (max_steps=200, lives=3, mutation_rate=0.2, seed=0)...

  Gen |  Size |  Speed | Caution |  Fitness
  463 | 8.701 |  5.375 |   0.393 |  50.6333
  464 | 8.429 |  5.495 |   0.393 |  11.4667
  465 | 8.416 |  5.470 |   0.393 |  13.6667
  466 | 8.385 |  5.470 |   0.393 |   7.5667
  467 | 8.158 |  5.050 |   0.403 |  22.9333
  468 | 8.075 |  5.009 |   0.388 |  -4.9333
  469 | 8.489 |  4.751 |   0.626 |  21.2667
  470 | 8.029 |  5.500 |   0.388 |  32.8333
  471 | 8.397 |  5.173 |   0.406 |  18.6333
  472 | 8.390 |  5.716 |   0.580 |  36.7333
  473 | 8.414 |  5.656 |   0.450 |  10.8333
  474 | 8.401 |  5.704 |   0.632 |  38.3000
  475 | 8.823 |  5.228 |   0.382 |   4.2000
  476 | 8.823 |  5.228 |   0.382 |   2.4333
  477 | 8.294 |  5.200 |   0.385 |  17.0667
  478 | 8.283 |  5.550 |   0.439 |  17.2667
  479 | 8.432 |  5.089 |   0.622 |  -1.5000
